ID,SumLoad,NormLoad,AvgLoad,NormRatio,Country,State,SiteName
727680_TMY2,"[1037.84839404  865.13747733  844.56477516  736.04089461  682.18796803
  587.31565481  665.83439849  630.60746248  641.32434371  758.54575834
  835.27122076  972.1676036 ]","[1.         0.83358753 0.81376507 0.70919886 0.65730985 0.56589735
 0.64155266 0.60761039 0.61793644 0.73088301 0.80481044 0.93671447]","[1.39495752 1.28740696 1.13516771 1.02227902 0.91691931 0.81571619
 0.89493871 0.84759068 0.89072826 1.01955075 1.16009892 1.30667689]",1037.8483940404774,USA,MT,Glasgow
722410_TMY2,"[1739.3170585  1304.26743613 1055.21408442  893.67449816 1130.15420107
 1245.20886423 1361.38600135 1303.86806452 1242.05493063 1107.2197648
  894.03219071 1301.88160468]","[1.         0.74987331 0.606683   0.5138077  0.64976894 0.71591827
 0.78271296 0.74964369 0.71410496 0.63658305 0.51401335 0.7485016 ]","[2.33779175 1.94087416 1.4182985  1.24121458 1.51902446 1.72945676
 1.82981989 1.75251084 1.72507629 1.48819861 1.24171138 1.74984087]",1739.3170585014002,USA,TX,Beaumont-Port Arthur
722190_TMY2,"[1184.53799446 1037.85788165 1029.99019419  916.49789039  916.31240551
 1038.74275844 1228.71952703 1155.91734748 1104.02465789  976.04261241
  986.17680466 1104.65007205]","[0.96404262 0.84466622 0.83826306 0.74589674 0.74574578 0.84538638
 1.         0.94074955 0.89851641 0.79435753 0.8026053  0.89902541]","[1.59212096 1.54443137 1.38439542 1.27291374 1.2316027  1.44269828
 1.65150474 1.55365235 1.53336758 1.31188523 1.36969001 1.48474472]",1228.719527034452,USA,GA,Atlanta
725780_TMY2,"[982.42698294 839.80543906 829.47713291 736.42149878 685.31713529
 597.50891111 659.04435593 614.35213403 649.28726014 756.16226733
 808.56538573 954.16077317]","[1.         0.85482733 0.84431428 0.74959413 0.69757564 0.60819676
 0.67083291 0.62534127 0.66090129 0.76968801 0.82302848 0.97122818]","[1.32046637 1.24971047 1.11488862 1.02280764 0.92112518 0.82987349
 0.88581231 0.82574212 0.90178786 1.01634713 1.12300748 1.28247416]",982.4269829374066,USA,ID,Pocatello
722430_TMY2,"[1664.73656974 1561.40973408 1119.5774073   915.57392044 1074.25666533
 1236.16591654 1419.30281917 1320.1583056  1223.71362524 1099.61044194
  963.57559488 1507.72053284]","[1.         0.93793202 0.67252527 0.54998126 0.6453013  0.74255948
 0.85256902 0.79301334 0.73507944 0.6605312  0.57881566 0.90568115]","[2.23754915 2.32352639 1.50480834 1.27163045 1.44389337 1.71689711
 1.90766508 1.77440632 1.69960226 1.47797102 1.33829944 2.02650609]",1664.7365697419928,USA,TX,Houston-Intercontinental
726440_TMY2,"[1002.50315649  877.13706931  858.49240435  735.22668666  672.59224569
  589.14065205  635.41998738  601.06769523  638.80401489  750.28715561
  826.54736841  978.68890258]","[1.         0.87494694 0.85634883 0.73339089 0.67091285 0.58766962
 0.6338334  0.59956689 0.63720898 0.74841376 0.82448356 0.97624521]","[1.34745048 1.3052635  1.15388764 1.02114818 0.90402184 0.81825091
 0.85405912 0.80788669 0.8872278  1.00845048 1.14798246 1.31544207]",1002.5031564891749,USA,MN,Rochester
725350_TMY2,"[961.35096923 837.09263829 832.26104439 730.55600972 665.18414916
 604.14221116 662.52901302 704.52992053 667.29542225 734.10076915
 793.6702956  928.10108078]","[1.         0.87074613 0.86572029 0.75992643 0.69192644 0.62843044
 0.68916456 0.73285402 0.69412259 0.7636137  0.82557809 0.96541337]","[1.2921384  1.24567357 1.11863044 1.01466112 0.89406472 0.8390864
 0.89049599 0.94694882 0.9267992  0.98669458 1.10231985 1.24744769]",961.3509692286913,USA,IN,South Bend
722950_TMY2,"[724.38413023 634.10752906 638.04774735 587.20909862 578.59653236
 554.56559619 668.45739252 699.72967734 712.90673152 714.02894313
 635.11495937 709.20083905]","[1.         0.87537468 0.88081409 0.8106322  0.79874269 0.7655684
 0.92279409 0.96596495 0.98415565 0.98570484 0.87676542 0.97903972]","[0.97363458 0.94361239 0.85759106 0.81556819 0.77768351 0.77022999
 0.89846424 0.94049688 0.99014824 0.95971632 0.88210411 0.95322693]",724.3841302268646,USA,CA,Los Angeles
722446_TMY2,"[1892.41924826 1521.85515697 1127.48879044  896.72064548 1041.44637578
 1237.4283311  1425.7741965  1357.19640745 1202.22229894 1045.14044734
  904.30124886 1615.46870899]","[1.         0.80418499 0.59579229 0.47384883 0.5503254  0.65388699
 0.75341349 0.71717533 0.63528328 0.55227743 0.4778546  0.85365265]","[2.54357426 2.26466541 1.51544192 1.24544534 1.39979352 1.71865046
 1.91636317 1.82418872 1.66975319 1.40475867 1.25597396 2.17132891]",1892.419248256552,USA,TX,Lufkin
703980_TMY2,"[938.0903598  817.21143345 811.23337871 742.56058266 697.62548746
 613.5939458  617.1470931  580.25930304 646.9659163  764.63395096
 806.50230203 913.12030471]","[1.         0.87114362 0.86477104 0.79156616 0.74366555 0.65408832
 0.65787596 0.61855374 0.68966268 0.81509627 0.85972774 0.97338204]","[1.26087414 1.21608844 1.09036744 1.03133414 0.93766867 0.85221381
 0.82949878 0.77991842 0.89856377 1.02773381 1.12014209 1.22731224]",938.0903598038873,USA,AK,Annette
701740_TMY2,"[1157.95203077  989.74855556  948.64516072  820.9421008   703.70305452
  598.18377068  609.48877406  580.25930304  690.766919    869.96265482
  965.9279744  1099.17162836]","[1.         0.85474055 0.81924392 0.70896037 0.60771348 0.5165877
 0.52635062 0.50110824 0.59654191 0.75129421 0.83416925 0.94923762]","[1.55638714 1.47284011 1.2750607  1.14019736 0.94583744 0.83081079
 0.81920534 0.77991842 0.9593985  1.16930464 1.34156663 1.47738122]",1157.952030769036,USA,AK,Bettles
723630_TMY2,"[ 807.66367651  692.95464013  683.96822723  608.78981225  612.93646474
  837.69472092 1046.81503001  929.13067079  726.9079899   676.76281948
  679.41092279  774.83794966]","[0.77154383 0.66196474 0.65338021 0.58156388 0.58552509 0.80023184
 1.         0.88757865 0.69439965 0.64649704 0.64902672 0.74018611]","[1.08556946 1.0311825  0.91931213 0.84554141 0.82383933 1.16346489
 1.40700945 1.24883155 1.00959443 0.90962745 0.94362628 1.04144886]",1046.8150300105135,USA,TX,Amarillo
726400_TMY2,"[1007.0354742   851.71919792  839.98191834  732.17535867  680.26976646
  599.52692832  646.82781515  597.9288037   629.75303067  742.68430626
  804.26836713  957.1686677 ]","[1.         0.84576881 0.83411353 0.72706015 0.67551718 0.59533844
 0.64230887 0.59375148 0.62535337 0.73749567 0.79864949 0.95048158]","[1.3535423  1.26743928 1.12900795 1.01691022 0.91434108 0.83267629
 0.86939222 0.80366775 0.87465699 0.99823159 1.1170394  1.28651703]",1007.0354742045844,USA,WI,Milwaukee
